brand,model,year,age_years,mileage_km,fuel_type,transmission,region,accident_history,owners_count,engine_cc,price_krw,export_demand_index
Ssangyong,Torres,2021,5,71120,Дизель,Автомат,Кёнгидо (Ансан),0,1,2199,11000000,1.195
Chevrolet,Trailblazer,2019,7,124093,Бензин,Автомат,Пусан,0,1,1998,5400000,0.872
Ssangyong,Torres,2023,3,63207,Бензин,Автомат,Сеул,1,3,1998,16300000,0.897
Kia,K5,2017,9,145661,Дизель,Автомат,Ульсан,0,1,1600,3900000,0.821
Renault Korea,QM6,2021,5,76615,Дизель,Автомат,Тэгу,1,1,2199,10800000,0.847
Kia,Sportage,2022,4,73023,Бензин,Автомат,Инчхон,1,2,1600,14400000,0.946
Kia,Sportage,2022,4,54521,Дизель,Автомат,Сеул,0,2,2199,18200000,1.262
Kia,Sorento,2019,7,116951,Дизель,Автомат,Сеул,1,2,2999,5600000,0.77
Kia,Carnival,2021,5,38852,Дизель,Автомат,Пусан,0,1,1600,17300000,1.395
Renault Korea,QM6,2022,4,28933,Дизель,Автомат,Сеул,0,3,1600,14300000,1.129
Kia,K5,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),1,1,2199,24600000,0.616
Renault Korea,QM6,2024,2,28559,Бензин,Автомат,Тэгу,0,2,1998,20700000,1.129
Kia,K5,2016,10,156422,Гибрид,Автомат,Инчхон,1,3,1998,3900000,0.557
Kia,K5,2025,1,11127,Бензин,Автомат,Пусан,0,2,2497,23500000,0.821
Kia,Carnival,2019,7,102024,Дизель,Автомат,Инчхон,0,2,2999,14200000,1.078
Kia,Carnival,2017,9,96159,Гибрид,Автомат,Ульсан,0,1,2497,6300000,0.975
Kia,K5,2018,8,146664,Дизель,Механика,Сеул,0,2,1600,4600000,0.643
Hyundai,Santa Fe,2025,1,13975,Бензин,Автомат,Тэгу,1,3,2497,30300000,0.77
Ssangyong,Torres,2023,3,47129,Дизель,Автомат,Инчхон,0,2,2999,20200000,1.195
Hyundai,Sonata,2022,4,44001,Гибрид,Автомат,Кёнгидо (Ансан),0,3,1600,15300000,0.961
Hyundai,Sonata,2024,2,28945,Гибрид,Автомат,Сеул,0,1,1600,20400000,0.961
Genesis,G80,2026,0,500,Бензин,Автомат,Ульсан,0,2,2999,47700000,1.129
Genesis,G80,2016,10,185980,Дизель,Автомат,Пусан,0,3,1600,8200000,1.129
Hyundai,Santa Fe,2017,9,105786,Гибрид,Автомат,Тэгу,0,3,2497,5700000,0.929
Chevrolet,Trailblazer,2017,9,135874,Гибрид,Автомат,Тэгу,0,3,2199,4200000,0.789
Kia,Carnival,2021,5,67390,Гибрид,Автомат,Кёнгидо (Ансан),0,3,2497,18400000,1.262
Hyundai,Tucson,2020,6,103168,Бензин,Автомат,Тэгу,0,1,2999,13000000,1.195
Kia,Sorento,2025,1,19556,Дизель,Автомат,Кёнгидо (Ансан),0,3,2999,30700000,1.026
Hyundai,Avante,2017,9,132056,Бензин,Автомат,Ульсан,0,2,1998,3000000,0.718
Genesis,G80,2016,10,163487,Гибрид,Механика,Ульсан,0,3,2999,8200000,0.799
Hyundai,Avante,2019,7,121809,Дизель,Автомат,Пусан,0,3,2497,3000000,0.718
Kia,Sorento,2019,7,111161,Дизель,Автомат,Пусан,0,1,1600,9900000,1.026
Hyundai,Santa Fe,2026,0,2614,Бензин,Автомат,Тэгу,1,2,2199,35300000,0.77
Genesis,G80,2017,9,169755,Дизель,Автомат,Пусан,0,3,2497,8200000,1.129
Chevrolet,Trailblazer,2016,10,206431,Бензин,Автомат,Сеул,0,1,2999,4200000,0.872
Chevrolet,Trailblazer,2025,1,28485,Дизель,Автомат,Пусан,0,1,2497,23200000,0.872
Chevrolet,Trailblazer,2021,5,81237,Бензин,Автомат,Кёнгидо (Ансан),0,2,2999,11500000,1.129
Hyundai,Santa Fe,2016,10,121768,Бензин,Автомат,Инчхон,0,2,2199,5700000,1.026
Kia,Sportage,2020,6,82894,Бензин,Автомат,Пусан,0,2,2497,10900000,1.262
Hyundai,Sonata,2021,5,84913,Бензин,Автомат,Тэгу,0,2,2199,11400000,1.063
Genesis,G80,2016,10,169091,Бензин,Автомат,Кёнгидо (Ансан),0,2,2497,8200000,1.129
Genesis,G80,2021,5,49025,Бензин,Автомат,Кёнгидо (Ансан),0,2,1600,27900000,1.461
Kia,Carnival,2020,6,113103,Бензин,Автомат,Кёнгидо (Ансан),1,3,2199,6300000,1.046
Kia,Sorento,2017,9,155964,Дизель,Автомат,Сеул,1,3,2199,5600000,0.77
Kia,Sorento,2021,5,49114,Гибрид,Автомат,Сеул,1,2,2497,14200000,0.901
Kia,K5,2025,1,16323,Гибрид,Автомат,Тэгу,1,3,2199,19800000,0.557
Ssangyong,Torres,2025,1,24004,Гибрид,Автомат,Ульсан,0,1,2199,28500000,0.836
Kia,Sportage,2017,9,131453,Бензин,Автомат,Кёнгидо (Ансан),0,2,2497,4600000,0.975
Chevrolet,Trailblazer,2017,9,180429,Дизель,Автомат,Кёнгидо (Ансан),0,1,2999,4200000,0.872
Renault Korea,QM6,2025,1,17839,Гибрид,Автомат,Ульсан,0,2,2999,21200000,0.789
Kia,Sportage,2018,8,96615,Гибрид,Автомат,Инчхон,0,1,1600,4600000,0.882
Kia,Carnival,2023,3,30061,Бензин,Автомат,Сеул,0,2,2999,30100000,1.395
Hyundai,Santa Fe,2017,9,154215,Бензин,Автомат,Кёнгидо (Ансан),0,1,2999,5700000,1.026
Hyundai,Tucson,2019,7,104078,Бензин,Автомат,Инчхон,0,3,2999,9400000,0.924
Renault Korea,QM6,2016,10,125715,Бензин,Механика,Пусан,0,1,2497,3900000,0.683
Kia,Sorento,2026,0,500,Дизель,Автомат,Ульсан,0,1,2199,32400000,1.026
Hyundai,Sonata,2025,1,12590,Бензин,Автомат,Инчхон,0,1,2999,22700000,0.821
Genesis,G80,2024,2,37797,Дизель,Автомат,Тэгу,0,2,2497,43600000,1.461
Hyundai,Avante,2023,3,31450,Бензин,Автомат,Тэгу,0,2,1600,12100000,0.93
Hyundai,Tucson,2020,6,67055,Гибрид,Автомат,Пусан,0,2,2999,11200000,1.082
Kia,Sportage,2020,6,81831,LPG,Автомат,Кёнгидо (Ансан),0,3,1998,8600000,1.142
Kia,Sportage,2018,8,129822,Дизель,Автомат,Сеул,0,1,2497,5000000,0.975
Kia,Carnival,2021,5,86826,Гибрид,Автомат,Кёнгидо (Ансан),0,3,2999,18900000,1.262
Kia,Sorento,2024,2,22571,Бензин,Автомат,Ульсан,1,1,2199,26500000,0.996
Hyundai,Tucson,2017,9,147127,Дизель,Автомат,Инчхон,0,2,2199,4800000,0.924
Kia,K5,2021,5,44331,Бензин,Автомат,Кёнгидо (Ансан),1,2,2999,8000000,0.797
Kia,Sorento,2025,1,20177,Гибрид,Автомат,Сеул,0,1,1600,33800000,0.929
Kia,K5,2025,1,14601,Дизель,Автомат,Инчхон,0,3,2199,22600000,0.821
Kia,Sorento,2016,10,228599,Бензин,Автомат,Пусан,0,2,1600,5600000,1.026
Hyundai,Sonata,2026,0,500,Бензин,Автомат,Сеул,0,1,2999,28100000,0.821
Hyundai,Tucson,2019,7,131162,Бензин,Автомат,Пусан,0,3,2999,4800000,0.924
Hyundai,Avante,2023,3,49562,Гибрид,Автомат,Ульсан,0,3,1600,12100000,0.841
Chevrolet,Trailblazer,2022,4,72878,Дизель,Автомат,Ульсан,0,2,2999,14700000,1.129
Hyundai,Avante,2017,9,162831,Дизель,Автомат,Сеул,0,2,2999,3000000,0.718
Kia,Sorento,2018,8,144438,Бензин,Автомат,Ульсан,0,1,2199,5600000,1.026
Hyundai,Avante,2021,5,31549,Бензин,Автомат,Пусан,0,2,2199,8700000,0.93
Genesis,G80,2023,3,42242,LPG,Автомат,Кёнгидо (Ансан),0,3,2497,34800000,1.322
Kia,Sportage,2022,4,63655,Дизель,Автомат,Пусан,0,2,2999,19100000,1.262
Kia,K5,2020,6,105983,Дизель,Автомат,Кёнгидо (Ансан),0,1,2999,9800000,1.063
Kia,Sportage,2023,3,42278,Дизель,Автомат,Сеул,0,3,2199,19400000,1.262
Chevrolet,Trailblazer,2025,1,15030,Бензин,Автомат,Сеул,0,1,1600,24600000,0.872
Kia,Sorento,2025,1,6903,Бензин,Автомат,Сеул,0,1,1600,31300000,1.026
Hyundai,Sonata,2021,5,103170,Гибрид,Автомат,Пусан,1,2,2199,7600000,0.721
Hyundai,Santa Fe,2017,9,100977,Дизель,Автомат,Кёнгидо (Ансан),0,3,2999,5700000,1.026
Hyundai,Tucson,2016,10,145414,Бензин,Автомат,Сеул,0,2,1998,4800000,0.924
Hyundai,Sonata,2020,6,53452,Гибрид,Автомат,Ульсан,0,1,1998,9300000,0.961
Genesis,G80,2025,1,19305,Бензин,Автомат,Инчхон,0,3,2199,50000000,1.129
Renault Korea,QM6,2024,2,36553,Бензин,Автомат,Кёнгидо (Ансан),0,3,2999,19000000,1.129
Genesis,G80,2026,0,2266,Бензин,Автомат,Пусан,1,1,2199,50200000,0.847
Hyundai,Santa Fe,2021,5,65108,LPG,Автомат,Ульсан,0,1,2199,16200000,1.202
Hyundai,Tucson,2023,3,52913,Бензин,Автомат,Ульсан,0,1,1998,19200000,1.195
Hyundai,Avante,2020,6,89567,Бензин,Механика,Инчхон,0,1,2999,7400000,0.728
Kia,K5,2024,2,29030,Дизель,Автомат,Тэгу,0,2,1998,21400000,1.063
Ssangyong,Torres,2024,2,43839,Бензин,Автомат,Инчхон,0,1,2199,25800000,1.195
Renault Korea,QM6,2021,5,105003,Дизель,Автомат,Инчхон,1,1,1998,8900000,0.847
Hyundai,Tucson,2017,9,113752,Дизель,Автомат,Инчхон,0,3,1600,4800000,0.924
Ssangyong,Torres,2022,4,64583,Бензин,Автомат,Ульсан,0,1,1600,18400000,1.195
Genesis,G80,2020,6,84907,Гибрид,Автомат,Сеул,0,2,1998,20300000,1.322
Kia,Carnival,2016,10,118671,Гибрид,Автомат,Тэгу,0,1,1600,6300000,0.975
Hyundai,Tucson,2016,10,70642,Бензин,Автомат,Кёнгидо (Ансан),1,2,2999,4800000,0.693
Renault Korea,QM6,2022,4,61554,Бензин,Автомат,Сеул,0,3,2497,15600000,1.129
Kia,K5,2025,1,20459,Бензин,Автомат,Сеул,1,1,2497,20700000,0.616
Hyundai,Santa Fe,2026,0,1326,Бензин,Автомат,Инчхон,0,1,2999,40400000,1.026
Kia,Sportage,2019,7,102222,Гибрид,Автомат,Инчхон,0,3,2199,6500000,0.882
Hyundai,Santa Fe,2019,7,76966,Бензин,Автомат,Сеул,0,1,1600,7500000,1.026
Genesis,G80,2019,7,143850,Дизель,Автомат,Ульсан,0,2,2497,8700000,1.129
Renault Korea,QM6,2019,7,99587,Бензин,Автомат,Ульсан,1,3,2199,5300000,0.654
Hyundai,Sonata,2023,3,50362,Дизель,Автомат,Кёнгидо (Ансан),1,2,2497,14300000,0.797
Hyundai,Tucson,2021,5,48577,Бензин,Механика,Пусан,1,2,2199,11800000,0.702
Hyundai,Sonata,2017,9,168360,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,4000000,0.821
Kia,K5,2026,0,500,Бензин,Автомат,Сеул,0,2,1600,25000000,0.821
Hyundai,Tucson,2020,6,96204,Дизель,Автомат,Пусан,0,2,2999,10500000,1.195
Kia,Sportage,2023,3,41060,Бензин,Автомат,Кёнгидо (Ансан),0,2,2999,21200000,1.262
Kia,Sorento,2025,1,10481,Дизель,Автомат,Кёнгидо (Ансан),0,1,1600,34000000,1.026
Kia,Sportage,2023,3,32531,Дизель,Автомат,Сеул,0,2,1998,21600000,1.262
Ssangyong,Torres,2026,0,500,Бензин,Автомат,Ульсан,0,1,2199,29800000,0.924
Ssangyong,Torres,2026,0,3533,Бензин,Автомат,Тэгу,0,3,2199,29000000,0.924
Chevrolet,Trailblazer,2022,4,42459,Дизель,Автомат,Сеул,0,2,1998,16800000,1.129
Hyundai,Tucson,2019,7,97697,Бензин,Автомат,Тэгу,0,2,2199,6400000,0.924
Renault Korea,QM6,2024,2,27430,Бензин,Автомат,Инчхон,0,2,1600,20800000,1.129
Ssangyong,Torres,2019,7,115644,Бензин,Автомат,Кёнгидо (Ансан),0,3,2199,4500000,0.924
Hyundai,Santa Fe,2025,1,15560,Гибрид,Автомат,Кёнгидо (Ансан),0,1,1998,30400000,0.929
Kia,K5,2026,0,500,Бензин,Механика,Тэгу,0,3,1600,24000000,0.643
Ssangyong,Torres,2017,9,144164,Дизель,Автомат,Инчхон,0,2,2497,4500000,0.924
Hyundai,Sonata,2023,3,25798,Бензин,Автомат,Ульсан,0,3,1998,19700000,1.063
Hyundai,Avante,2024,2,27706,Бензин,Автомат,Инчхон,0,2,2497,14500000,0.93
Hyundai,Tucson,2022,4,50561,Бензин,Автомат,Пусан,0,3,1998,18800000,1.195
Ssangyong,Torres,2019,7,105741,Гибрид,Механика,Ульсан,0,2,2497,8100000,0.654
Kia,Carnival,2016,10,109933,Бензин,Автомат,Сеул,0,3,2497,6300000,1.078
Genesis,G80,2019,7,78616,Гибрид,Автомат,Тэгу,1,3,2497,8200000,0.766
Kia,Sportage,2022,4,67620,Бензин,Автомат,Тэгу,0,1,2497,16100000,1.262
Hyundai,Sonata,2025,1,16763,Бензин,Механика,Тэгу,0,1,2999,25900000,0.643
Kia,K5,2026,0,7488,Бензин,Автомат,Ульсан,0,2,2199,25300000,0.821
Ssangyong,Torres,2019,7,124648,Гибрид,Автомат,Тэгу,0,3,2999,5400000,0.836
Kia,Carnival,2016,10,94552,Бензин,Автомат,Пусан,0,2,1998,6300000,1.078
Kia,K5,2020,6,85264,Бензин,Автомат,Ульсан,0,3,2999,7400000,1.063
Hyundai,Tucson,2026,0,3111,Бензин,Автомат,Тэгу,0,3,2497,31100000,0.924
Kia,K5,2026,0,536,Гибрид,Автомат,Тэгу,1,3,2999,19100000,0.557
Genesis,G80,2022,4,49694,Дизель,Автомат,Тэгу,0,3,2999,30100000,1.461
Kia,K5,2026,0,500,Дизель,Автомат,Тэгу,0,3,2199,21800000,0.821
Hyundai,Tucson,2021,5,99007,Бензин,Автомат,Ульсан,0,1,1998,14400000,1.195
Kia,Carnival,2024,2,48849,Бензин,Автомат,Инчхон,0,1,1998,31500000,1.395
Ssangyong,Torres,2022,4,62043,LPG,Автомат,Сеул,0,2,2199,17500000,1.082
Kia,K5,2022,4,54167,Бензин,Автомат,Ульсан,0,1,1998,14400000,1.063
Kia,Sportage,2025,1,18867,Дизель,Механика,Сеул,0,1,2497,27700000,0.763
Hyundai,Sonata,2018,8,89355,LPG,Автомат,Инчхон,1,3,1998,4000000,0.557
Ssangyong,Torres,2018,8,178389,Бензин,Автомат,Тэгу,0,3,2199,4500000,0.924
Hyundai,Tucson,2024,2,27790,Бензин,Автомат,Ульсан,0,2,2999,23300000,1.195
Kia,K5,2016,10,111208,Бензин,Механика,Пусан,0,3,2497,3900000,0.643
Kia,Carnival,2022,4,41939,Дизель,Автомат,Пусан,1,1,2199,18800000,1.046
Ssangyong,Torres,2018,8,168225,Дизель,Автомат,Кёнгидо (Ансан),0,3,2199,4500000,0.924
Kia,Sorento,2024,2,39456,Бензин,Автомат,Инчхон,0,3,2497,28100000,1.328
Ssangyong,Torres,2023,3,33327,Дизель,Механика,Тэгу,0,3,2999,21600000,0.936
Kia,Sorento,2024,2,22429,Бензин,Автомат,Кёнгидо (Ансан),1,3,1600,25800000,0.996
Kia,Sorento,2021,5,78297,Дизель,Автомат,Сеул,0,1,1600,15000000,1.328
Kia,Carnival,2023,3,40085,Дизель,Автомат,Инчхон,0,1,2999,27300000,1.395
Hyundai,Avante,2023,3,43720,Дизель,Автомат,Пусан,1,2,1600,10100000,0.697
Hyundai,Santa Fe,2022,4,42153,LPG,Автомат,Ульсан,0,2,1600,20800000,1.202
Hyundai,Tucson,2016,10,131359,Гибрид,Автомат,Тэгу,0,3,2497,4800000,0.836
Kia,Sorento,2024,2,28012,Дизель,Автомат,Тэгу,0,1,2999,32500000,1.328
Hyundai,Sonata,2018,8,87106,Гибрид,Автомат,Инчхон,0,3,2199,4000000,0.743
Kia,Sorento,2019,7,117955,LPG,Автомат,Сеул,1,1,2999,6900000,0.696
Kia,Carnival,2023,3,48968,Бензин,Автомат,Пусан,0,2,1600,29300000,1.395
Hyundai,Sonata,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),0,3,1998,27900000,0.821
Ssangyong,Torres,2017,9,133098,Дизель,Автомат,Тэгу,0,1,2497,4500000,0.924
Hyundai,Santa Fe,2016,10,162673,Бензин,Автомат,Ульсан,0,1,1998,5700000,1.026
Hyundai,Avante,2020,6,77880,Гибрид,Автомат,Ульсан,0,3,2497,5800000,0.841
Chevrolet,Trailblazer,2022,4,48597,Бензин,Автомат,Инчхон,0,2,1600,14500000,1.129
Kia,Sportage,2017,9,140847,Бензин,Автомат,Ульсан,0,2,1998,4600000,0.975
Hyundai,Santa Fe,2016,10,161269,Бензин,Автомат,Сеул,0,3,1998,5700000,1.026
Kia,Carnival,2016,10,148182,Дизель,Автомат,Кёнгидо (Ансан),1,1,1600,6300000,0.808
Genesis,G80,2021,5,72548,Бензин,Автомат,Пусан,0,3,1600,23300000,1.461
Kia,Sorento,2026,0,500,Гибрид,Автомат,Инчхон,1,2,1600,32900000,0.696
Kia,Sorento,2016,10,121901,Гибрид,Автомат,Сеул,0,3,2497,5600000,0.929
Hyundai,Santa Fe,2022,4,66744,Гибрид,Автомат,Кёнгидо (Ансан),0,1,2497,20700000,1.202
Kia,Sorento,2024,2,29403,Бензин,Автомат,Ульсан,1,3,2199,22400000,0.996
Kia,Sportage,2016,10,150341,Дизель,Автомат,Пусан,0,1,2999,4600000,0.975
Chevrolet,Trailblazer,2018,8,141010,Дизель,Автомат,Кёнгидо (Ансан),0,3,1600,4200000,0.872
Ssangyong,Torres,2021,5,71936,Дизель,Автомат,Инчхон,1,2,1600,7300000,0.897
Kia,K5,2019,7,84313,Бензин,Автомат,Ульсан,0,1,1600,7500000,0.821
Hyundai,Sonata,2017,9,125873,Дизель,Автомат,Тэгу,0,2,2199,4000000,0.821
Hyundai,Avante,2022,4,62221,Дизель,Автомат,Пусан,0,3,1998,9600000,0.93
Kia,Carnival,2020,6,112654,Бензин,Автомат,Ульсан,1,1,2199,12400000,1.046
Chevrolet,Trailblazer,2021,5,73656,Дизель,Автомат,Кёнгидо (Ансан),1,2,2199,9400000,0.847
Kia,K5,2022,4,52863,Бензин,Автомат,Инчхон,0,1,2999,13600000,1.063
Hyundai,Tucson,2017,9,118401,Дизель,Автомат,Кёнгидо (Ансан),0,1,2199,4800000,0.924
Genesis,G80,2020,6,75551,Дизель,Автомат,Тэгу,0,3,2199,20200000,1.461
Chevrolet,Trailblazer,2021,5,110949,Бензин,Автомат,Ульсан,0,1,1600,10800000,1.129
Kia,Sorento,2020,6,86670,Бензин,Автомат,Тэгу,0,1,1998,15100000,1.328
Kia,Carnival,2021,5,43373,Бензин,Механика,Пусан,0,2,1998,17400000,1.091
Renault Korea,QM6,2024,2,37249,Гибрид,Автомат,Сеул,0,2,1998,20700000,1.021
Kia,K5,2023,3,36294,Гибрид,Автомат,Сеул,0,1,1600,17500000,0.961
Hyundai,Avante,2025,1,17625,Гибрид,Автомат,Ульсан,0,1,1600,17000000,0.65
Genesis,G80,2026,0,500,Бензин,Автомат,Кёнгидо (Ансан),0,2,1600,51700000,1.129
Hyundai,Santa Fe,2026,0,500,Гибрид,Автомат,Кёнгидо (Ансан),1,2,1998,35700000,0.696
Hyundai,Tucson,2016,10,109440,Дизель,Автомат,Сеул,0,3,1600,4800000,0.924
Hyundai,Tucson,2026,0,500,Бензин,Автомат,Тэгу,0,2,2497,30000000,0.924
Hyundai,Avante,2018,8,146337,Бензин,Автомат,Инчхон,1,3,2999,3000000,0.539
Hyundai,Tucson,2016,10,191957,Бензин,Автомат,Ульсан,1,2,2199,4800000,0.693
Hyundai,Tucson,2023,3,37250,Бензин,Автомат,Кёнгидо (Ансан),0,2,2999,21700000,1.195
Genesis,G80,2016,10,175787,Гибрид,Автомат,Сеул,0,2,2199,8200000,1.021
Genesis,G80,2016,10,145930,Гибрид,Автомат,Кёнгидо (Ансан),0,2,2199,8200000,1.021
Renault Korea,QM6,2023,3,42445,LPG,Автомат,Кёнгидо (Ансан),1,2,2999,14200000,0.766
Chevrolet,Trailblazer,2026,0,500,Дизель,Автомат,Кёнгидо (Ансан),0,2,1600,25000000,0.872
Kia,Sorento,2023,3,35168,Бензин,Автомат,Пусан,0,1,2199,26200000,1.328
Chevrolet,Trailblazer,2021,5,75504,Бензин,Автомат,Сеул,0,2,2497,12700000,1.129
Kia,Sorento,2026,0,500,Бензин,Автомат,Пусан,1,1,1600,32600000,0.77
Ssangyong,Torres,2025,1,10513,Бензин,Автомат,Ульсан,0,2,2497,27400000,0.924
Hyundai,Sonata,2026,0,2739,Дизель,Автомат,Кёнгидо (Ансан),1,2,2999,23000000,0.616
Ssangyong,Torres,2019,7,111253,Гибрид,Автомат,Инчхон,1,3,2999,4900000,0.627
Kia,Sorento,2023,3,48539,Гибрид,Автомат,Кёнгидо (Ансан),0,2,2497,24200000,1.202
Hyundai,Avante,2016,10,180865,Бензин,Автомат,Тэгу,0,3,2999,3000000,0.718
Kia,Sorento,2021,5,75095,Дизель,Автомат,Тэгу,0,3,2999,16000000,1.328
Renault Korea,QM6,2024,2,35080,Бензин,Автомат,Ульсан,0,2,1600,19300000,1.129
Hyundai,Sonata,2016,10,128073,Дизель,Автомат,Инчхон,0,2,2497,4000000,0.821
Chevrolet,Trailblazer,2025,1,12660,Бензин,Автомат,Пусан,0,1,1998,24400000,0.872
Kia,Carnival,2020,6,107107,LPG,Автомат,Пусан,1,2,1600,7900000,0.946
Kia,Sorento,2019,7,119472,Дизель,Автомат,Инчхон,0,1,1998,8300000,1.026
Genesis,G80,2019,7,89028,Бензин,Автомат,Сеул,0,2,1998,9400000,1.129
Hyundai,Sonata,2020,6,108815,Гибрид,Автомат,Инчхон,1,1,1600,7700000,0.721
Genesis,G80,2017,9,216890,Бензин,Автомат,Кёнгидо (Ансан),0,3,2497,8200000,1.129
Ssangyong,Torres,2026,0,500,Дизель,Автомат,Сеул,1,3,1600,27700000,0.693
Hyundai,Avante,2026,0,500,Бензин,Автомат,Сеул,0,1,2199,19700000,0.718
Ssangyong,Torres,2022,4,62104,Бензин,Механика,Ульсан,0,1,2497,15700000,0.936
Kia,Carnival,2023,3,61240,Дизель,Автомат,Инчхон,1,1,1600,21700000,1.046
Chevrolet,Trailblazer,2016,10,149433,Гибрид,Автомат,Пусан,0,2,2999,4200000,0.789
Chevrolet,Trailblazer,2023,3,40969,Дизель,Автомат,Инчхон,0,3,1600,17600000,1.129
Hyundai,Santa Fe,2024,2,28540,Дизель,Автомат,Тэгу,0,2,1998,29600000,1.328
Kia,K5,2026,0,894,Дизель,Автомат,Кёнгидо (Ансан),1,1,1600,24800000,0.616
Kia,Sorento,2024,2,27546,Бензин,Автомат,Инчхон,0,3,2199,25700000,1.328
Hyundai,Santa Fe,2018,8,93854,Бензин,Автомат,Сеул,0,1,2497,8600000,1.026
Kia,Sportage,2017,9,149778,Гибрид,Автомат,Кёнгидо (Ансан),0,3,2497,4600000,0.882
Hyundai,Sonata,2021,5,80752,Бензин,Автомат,Ульсан,0,1,1998,10300000,1.063
Kia,Carnival,2016,10,113750,Бензин,Автомат,Тэгу,0,3,2199,6300000,1.078
Kia,K5,2023,3,37542,Бензин,Автомат,Ульсан,0,2,2497,17000000,1.063
Kia,Carnival,2024,2,33466,Бензин,Автомат,Тэгу,0,2,2999,29400000,1.395
Genesis,G80,2019,7,109847,Бензин,Автомат,Кёнгидо (Ансан),0,1,2199,14200000,1.129
Hyundai,Tucson,2022,4,44394,Гибрид,Автомат,Тэгу,1,3,1998,14100000,0.811
Kia,K5,2016,10,176422,Дизель,Автомат,Ульсан,0,3,2497,3900000,0.821
Hyundai,Sonata,2021,5,78358,Бензин,Автомат,Кёнгидо (Ансан),0,2,1998,10600000,1.063
Renault Korea,QM6,2022,4,56447,Бензин,Автомат,Кёнгидо (Ансан),1,2,2999,9500000,0.847
Kia,Carnival,2020,6,88006,Гибрид,Автомат,Пусан,0,2,1600,17900000,1.262
Kia,Sportage,2022,4,74480,Дизель,Автомат,Сеул,1,3,1600,8600000,0.946
Hyundai,Sonata,2019,7,98853,Гибрид,Автомат,Кёнгидо (Ансан),0,2,2497,5700000,0.743
Hyundai,Avante,2018,8,93380,Бензин,Автомат,Ульсан,0,3,2199,3000000,0.718
Hyundai,Tucson,2023,3,50169,Дизель,Автомат,Ульсан,1,2,1600,19400000,0.897
Chevrolet,Trailblazer,2023,3,46234,Бензин,Автомат,Пусан,0,2,1998,20600000,1.129
Renault Korea,QM6,2024,2,30324,Бензин,Автомат,Инчхон,0,2,2199,22500000,1.129
Ssangyong,Torres,2020,6,111950,Бензин,Автомат,Инчхон,0,1,1998,9800000,1.195
Kia,K5,2016,10,196838,LPG,Автомат,Инчхон,0,2,1600,3900000,0.743
Hyundai,Tucson,2018,8,123220,Гибрид,Автомат,Пусан,0,2,1998,4800000,0.836
Kia,Sorento,2020,6,77451,Гибрид,Автомат,Пусан,1,3,1600,11000000,0.901
Kia,K5,2016,10,148364,Бензин,Автомат,Инчхон,0,3,1998,3900000,0.821
Hyundai,Avante,2016,10,129129,Дизель,Автомат,Инчхон,0,1,2497,3000000,0.718
Ssangyong,Torres,2016,10,172213,Гибрид,Автомат,Инчхон,0,3,2497,4500000,0.836
Hyundai,Santa Fe,2024,2,19711,Дизель,Автомат,Сеул,1,1,1998,25300000,0.996
Kia,K5,2026,0,500,Гибрид,Автомат,Ульсан,0,3,1600,24800000,0.743
Hyundai,Santa Fe,2025,1,18156,Дизель,Автомат,Пусан,0,3,2497,33700000,1.026
Chevrolet,Trailblazer,2018,8,106495,LPG,Механика,Тэгу,0,2,2497,4200000,0.618
Hyundai,Avante,2016,10,123704,Бензин,Автомат,Ульсан,1,3,2497,3000000,0.539
Hyundai,Avante,2025,1,20565,Бензин,Автомат,Пусан,0,3,1998,17900000,0.718
Genesis,G80,2026,0,500,Дизель,Автомат,Ульсан,0,1,2999,58700000,1.129
Genesis,G80,2018,8,81413,Дизель,Автомат,Тэгу,1,3,2999,8200000,0.847
Renault Korea,QM6,2024,2,29358,Гибрид,Автомат,Тэгу,0,2,1600,21600000,1.021
Kia,K5,2018,8,155317,Гибрид,Автомат,Инчхон,0,1,2497,3900000,0.743
Hyundai,Avante,2019,7,85663,Бензин,Автомат,Кёнгидо (Ансан),0,1,1998,4400000,0.718
Genesis,G80,2023,3,44581,Бензин,Автомат,Пусан,1,3,2999,26700000,1.096
Hyundai,Santa Fe,2019,7,68532,Бензин,Автомат,Кёнгидо (Ансан),0,2,1998,8100000,1.026
Kia,K5,2020,6,63836,Дизель,Автомат,Кёнгидо (Ансан),0,1,2497,7900000,1.063
Kia,Sorento,2022,4,64999,Дизель,Автомат,Ульсан,0,1,1998,18700000,1.328
Kia,Sportage,2020,6,96004,Бензин,Автомат,Пусан,0,1,2199,8500000,1.262
Ssangyong,Torres,2018,8,122705,Дизель,Автомат,Тэгу,1,3,1998,4500000,0.693
Hyundai,Sonata,2016,10,149409,Бензин,Автомат,Тэгу,1,2,2999,4000000,0.616
Hyundai,Sonata,2023,3,31238,LPG,Автомат,Инчхон,1,2,2199,14900000,0.721
Hyundai,Sonata,2024,2,30407,Гибрид,Автомат,Сеул,0,2,2497,20900000,0.961
Genesis,G80,2023,3,37605,Гибрид,Автомат,Сеул,0,2,1998,39600000,1.322
Hyundai,Santa Fe,2016,10,129249,Бензин,Механика,Сеул,1,2,2497,5700000,0.602
Kia,K5,2019,7,73375,Дизель,Автомат,Сеул,0,2,2497,6400000,0.821
